Protein FDR Confidence: Combined	Accession	Description	Exp. q-value: Combined	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	Biological Process	Cellular Component	Molecular Function	Pfam IDs	Entrez Gene ID	Ensembl Gene ID	Chromosome	WikiPathways	Gene Symbol	KEGG Pathways	Reactome Pathways	# Protein Pathway Groups	# Razor Peptides		"126, Day 2"	"127N, Day 7.5"	"128N, Day 8"	"129C, Day 10"	"130N, Day 12"	"131, Day 14"	# Protein Groups	Modifications
High	Q14011	Cold-inducible RNA-binding protein OS=Homo sapiens OX=9606 GN=CIRBP PE=1 SV=1	0	30.659	38	5	22	5	172	18.6	9.51	70.39	5	cell organization and biogenesis;regulation of biological process;response to stimulus	cytoplasm;nucleus	protein binding;RNA binding;translation regulator activity	"Pf00076, Pf13893, Pf14259"	1153	ENSG00000099622.13	19		CIRBP			0	0	NA	1775.6	2194.8	2362	2534.2	1422.6	957.5	1	
High	F5H5I6	G-rich sequence factor 1 OS=Homo sapiens OX=9606 GN=GRSF1 PE=1 SV=2	0	30.572	29	8	11	8	424	47.9	5.64	36.92	8	metabolic process	cytoplasm;mitochondrion	RNA binding	"Pf00076, Pf14259"	2926	ENSG00000132463.13	4		GRSF1			0	0	NA	611.1	719.6	677.6	524.1	512.2	367.6	1	
High	C9JYA1	Nucleoporin NUP42 (Fragment) OS=Homo sapiens OX=9606 GN=NUP42 PE=1 SV=1	0	30.456	15	6	15	6	435	46.4	9.25	52.54	6		cytosol;nucleus	metal ion binding			ENSG00000136243.16	7					0	0	NA	961.8	951.8	912.2	956.2	572.5	611	1	
High	Q9NZI8	Insulin-like growth factor 2 mRNA-binding protein 1 OS=Homo sapiens OX=9606 GN=IGF2BP1 PE=1 SV=2	0	29.969	19	9	9	7	577	63.4	9.2	26.54	9	cell proliferation;regulation of biological process;transport	cytoplasm;cytosol;nucleus	protein binding;RNA binding;translation regulator activity	"Pf00013, Pf00076, Pf13014, Pf13893, Pf14259"	10642	ENSG00000159217.9	17	Brain-Derived Neurotrophic Factor (BDNF) signaling pathway; eIF5A regulation in response to inhibition of the nuclear export system	IGF2BP1	MicroRNAs in cancer	MAPK6/MAPK4 signaling; Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA	8	0	NA	147.1	95.6	97.1	82	98.8	116.5	1	
High	O60293	Zinc finger C3H1 domain-containing protein OS=Homo sapiens OX=9606 GN=ZFC3H1 PE=1 SV=3	0	29.567	7	10	13	10	1989	226.2	8.13	35.66	10	metabolic process	nucleus	metal ion binding;protein binding;RNA binding	"Pf08317, Pf10650, Pf13414, Pf14559"	196441	ENSG00000133858.15	12		ZFC3H1			0	0	NA	187.5	303.6	310.4	294	186.1	176.7	1	
High	Q8TCS8	"Polyribonucleotide nucleotidyltransferase 1, mitochondrial OS=Homo sapiens OX=9606 GN=PNPT1 PE=1 SV=2"	0	29.186	13	8	13	8	783	85.9	7.77	37.11	8	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol;membrane;mitochondrion;nucleus;ribosome	catalytic activity;protein binding;RNA binding	"Pf00013, Pf00575, Pf01138, Pf03725, Pf03726"	87178	ENSG00000138035.14	2		PNPT1	RNA degradation; Pyrimidine metabolism; Purine metabolism		3	0	NA	697.8	570.2	567.9	466.9	763	806.4	1	
High	P84103	Serine/arginine-rich splicing factor 3 OS=Homo sapiens OX=9606 GN=SRSF3 PE=1 SV=1	0	29.009	43	8	41	7	164	19.3	11.65	109.43	8	metabolic process;regulation of biological process;transport	cytoplasm;nucleus	protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	6428	ENSG00000112081.16	6	mRNA Processing	SRSF3	Spliceosome; Herpes simplex infection	Cleavage of Growing Transcript in the Termination Region ; Transport of Mature mRNA derived from an Intron-Containing Transcript; mRNA 3'-end processing; mRNA Splicing - Major Pathway	14	0	NA	3633.4	3708.2	3699.8	3756.3	2187.1	3094.4	1	
High	Q8IUH3	RNA-binding protein 45 OS=Homo sapiens OX=9606 GN=RBM45 PE=1 SV=1	0	28.411	17	7	10	7	476	53.5	7.17	28.4	7	cell differentiation;development	cytoplasm;nucleus	protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	129831	ENSG00000155636.14	2		RBM45			0	0	NA	213.4	218.6	205.9	238.7	133.3	115.3	1	
High	P51116	Fragile X mental retardation syndrome-related protein 2 OS=Homo sapiens OX=9606 GN=FXR2 PE=1 SV=2	0	28.261	12	7	11	4	673	74.2	6.23	35.98	7	regulation of biological process	cytoplasm;cytosol;membrane;nucleus	protein binding;RNA binding	"Pf00013, Pf05641, Pf12235, Pf13014"	9513	ENSG00000129245.11	17		FXR2	RNA transport		1	0	NA	139.7	56.2	48.5	56	328.4	312.9	1	
High	P39019	40S ribosomal protein S19 OS=Homo sapiens OX=9606 GN=RPS19 PE=1 SV=2	0	27.892	51	8	36	8	145	16.1	10.32	92.81	8	cell differentiation;cell organization and biogenesis;cellular component movement;defense response;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol;membrane;nucleus;ribosome	protein binding;RNA binding;structural molecule activity	Pf01090	6223	ENSG00000105372.6	19	Cytoplasmic Ribosomal Proteins	RPS19	Ribosome	"Peptide chain elongation; Eukaryotic Translation Termination; Viral mRNA Translation; Formation of the ternary complex, and subsequently, the 43S complex; L13a-mediated translational silencing of Ceruloplasmin expression; Selenocysteine synthesis; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); GTP hydrolysis and joining of the 60S ribosomal subunit; Ribosomal scanning and start codon recognition; Major pathway of rRNA processing in the nucleolus and cytosol; Regulation of expression of SLITs and ROBOs; Translation initiation complex formation; Formation of a pool of free 40S subunits; SRP-dependent cotranslational protein targeting to membrane"	38	0	NA	5064.7	2094.1	1938.6	1830.3	4579.4	3961.3	1	
High	Q9ULX6	A-kinase anchor protein 8-like OS=Homo sapiens OX=9606 GN=AKAP8L PE=1 SV=4	0	27.714	16	7	9	7	646	71.6	5.05	26.44	7	cell organization and biogenesis;metabolic process;regulation of biological process	chromosome;cytoplasm;nucleus	DNA binding;metal ion binding;protein binding;RNA binding	Pf04988	26993	ENSG00000011243.17	19		AKAP8L	Epstein-Barr virus infection		1	0	NA	138.5	306.3	295.6	227.8	235.9	235.2	1	
High	Q9NQT4	Exosome complex component RRP46 OS=Homo sapiens OX=9606 GN=EXOSC5 PE=1 SV=1	0	27.703	42	7	22	7	235	25.2	7.59	87.74	7	defense response;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;nucleus	catalytic activity;protein binding;RNA binding	"Pf01138, Pf03725"	56915	ENSG00000077348.8	19		EXOSC5	RNA degradation	"Major pathway of rRNA processing in the nucleolus and cytosol; mRNA decay by 3' to 5' exoribonuclease; ATF4 activates genes; Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA; Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA; KSRP (KHSRP) binds and destabilizes mRNA"	15	0	NA	1518.7	2308.4	2342.2	2019	1104.6	742.4	1	
High	O00425	Insulin-like growth factor 2 mRNA-binding protein 3 OS=Homo sapiens OX=9606 GN=IGF2BP3 PE=1 SV=2	0	27.21	20	10	11	8	579	63.7	8.87	26.4	10	metabolic process;regulation of biological process;transport	cytoplasm;cytosol;membrane;nucleus	protein binding;RNA binding;translation regulator activity	"Pf00013, Pf00076, Pf13014, Pf13893, Pf14259, Pf14611"	10643	ENSG00000136231.13	7		IGF2BP3		Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA	2	1	NA	997.4	490.6	482.8	516.6	555.5	739.8	1	
High	Q92541	RNA polymerase-associated protein RTF1 homolog OS=Homo sapiens OX=9606 GN=RTF1 PE=1 SV=4	0	26.906	11	7	9	7	710	80.3	8.15	26.28	7	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	nucleus	DNA binding;protein binding;RNA binding	Pf03126	23168	ENSG00000137815.14	15	Endoderm Differentiation	RTF1		E3 ubiquitin ligases ubiquitinate target proteins; Formation of RNA Pol II elongation complex ; RNA Polymerase II Pre-transcription Events	10	0	NA	335.8	316.5	377.2	402	575.5	369.4	1	
High	Q13595	Transformer-2 protein homolog alpha OS=Homo sapiens OX=9606 GN=TRA2A PE=1 SV=1	0	26.732	23	6	25	6	282	32.7	11.27	75.21	6	metabolic process	nucleus	RNA binding	"Pf00076, Pf13893, Pf14259"	29896	ENSG00000164548.10	7		TRA2A	Spliceosome		1	0	NA	1834.7	1946.5	1942.3	1992.3	1509.1	1322	1	
High	O75821	Eukaryotic translation initiation factor 3 subunit G OS=Homo sapiens OX=9606 GN=EIF3G PE=1 SV=2	0	26.719	26	8	13	2	320	35.6	6.13	39.48	8	metabolic process	cytoplasm;cytosol;nucleus	protein binding;RNA binding	"Pf00076, Pf12353, Pf13893, Pf14259"	8666	ENSG00000130811.11	19	Translation Factors	EIF3G	RNA transport	"Formation of the ternary complex, and subsequently, the 43S complex; L13a-mediated translational silencing of Ceruloplasmin expression; Translation initiation complex formation; GTP hydrolysis and joining of the 60S ribosomal subunit; Formation of a pool of free 40S subunits; Ribosomal scanning and start codon recognition"	13	6	NA	707	458.6	526.8	551.9	1106.6	773.9	1	
High	H0YNF3	SAFB-like transcription modulator (Fragment) OS=Homo sapiens OX=9606 GN=SLTM PE=1 SV=1	0	26.707	48	4	8	1	161	17.3	4.51	34.17	4				Pf02037		ENSG00000137776.16	15					0	0	NA	NA	NA	NA	NA	NA	NA	1	
High	E5RFJ3	Cell cycle and apoptosis regulator protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=CCAR2 PE=1 SV=1	0	26.042	54	6	16	1	162	17.5	10.39	45.64	6	metabolic process;regulation of biological process			Pf14444		ENSG00000158941.16	8					0	0	NA	NA	NA	NA	NA	NA	NA	1	
High	Q96PU8	Protein quaking OS=Homo sapiens OX=9606 GN=QKI PE=1 SV=1	0	25.949	24	8	12	7	341	37.6	8.56	34.72	8	cell differentiation;development;metabolic process;regulation of biological process;transport	cytoplasm;nucleus	protein binding;RNA binding	"Pf00013, Pf13014"	9444	ENSG00000112531.16	6	Exercise-induced Circadian Regulation	QKI		Signaling by BRAF and RAF fusions	5	0	NA	380	685.4	681.6	651.5	867.5	836.7	1	
High	Q9ULW3	Activator of basal transcription 1 OS=Homo sapiens OX=9606 GN=ABT1 PE=1 SV=1	0	25.468	44	8	10	8	272	31.1	9.88	34.84	8	cell differentiation;cell organization and biogenesis;metabolic process;regulation of biological process	nucleus	DNA binding;protein binding;RNA binding	Pf14259	29777	ENSG00000146109.4	6		ABT1			0	0	NA	649.7	725.7	712.7	678.9	388.8	263.3	1	
High	S4R341	Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens OX=9606 GN=NOLC1 PE=1 SV=1	0	25.255	77	4	18	2	73	8	5.26	62.29	4			protein binding			ENSG00000166197.16	10					0	0	NA	109.9	173.8	179.1	146.6	79.2	88	1	Met-loss [N-Term]
High	Q9UKV8	Protein argonaute-2 OS=Homo sapiens OX=9606 GN=AGO2 PE=1 SV=3	0	25.229	10	7	8	7	859	97.1	9.19	21.77	7	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;membrane;nucleus	catalytic activity;DNA binding;metal ion binding;protein binding;RNA binding	"Pf02170, Pf02171, Pf08699"	27161	ENSG00000123908.11	8		AGO2; EIF2C2		Post-transcriptional silencing by small RNAs; Ca2+ pathway; MicroRNA (miRNA) biogenesis; Competing endogenous RNAs (ceRNAs) regulate PTEN translation; Small interfering RNA (siRNA) biogenesis; Transcriptional regulation by small RNAs; Regulation of RUNX1 Expression and Activity; MAPK6/MAPK4 signaling; TP53 Regulates Metabolic Genes; Pre-NOTCH Transcription and Translation	26	0	NA	303.9	127.7	133	139.1	486.6	614	1	
High	Q8IYB8	"ATP-dependent RNA helicase SUPV3L1, mitochondrial OS=Homo sapiens OX=9606 GN=SUPV3L1 PE=1 SV=1"	0	25.081	14	8	11	8	786	87.9	7.99	31.75	8	cell organization and biogenesis;metabolic process;regulation of biological process	mitochondrion;nucleus;organelle lumen	catalytic activity;DNA binding;nucleotide binding;protein binding;RNA binding	"Pf00271, Pf12513"	6832	ENSG00000156502.13	10		SUPV3L1			0	0	NA	468.9	285.6	299.6	301.5	405	603.4	1	
High	H0YLE6	SAFB-like transcription modulator (Fragment) OS=Homo sapiens OX=9606 GN=SLTM PE=1 SV=1	0	23.175	32	4	8	1	192	20.3	4.51	31.03	4				Pf02037		ENSG00000137776.16	15					0	0	NA	NA	NA	NA	NA	NA	NA	1	
High	O95793	Double-stranded RNA-binding protein Staufen homolog 1 OS=Homo sapiens OX=9606 GN=STAU1 PE=1 SV=2	0	22.93	11	5	7	5	577	63.1	9.44	22.21	5	regulation of biological process;response to stimulus	cytoplasm;cytosol;endoplasmic reticulum;membrane	protein binding;RNA binding	"Pf00035, Pf14709"	6780	ENSG00000124214.19	20		STAU1			0	0	NA	159.2	91.6	82.4	93.9	242.5	237.5	1	
High	Q9HAU5	Regulator of nonsense transcripts 2 OS=Homo sapiens OX=9606 GN=UPF2 PE=1 SV=1	0	22.691	7	9	10	9	1272	147.7	5.69	18.86	9	metabolic process;transport	cytoplasm;cytosol;nucleus	DNA binding;protein binding;RNA binding	"Pf02854, Pf04050"	26019	ENSG00000151461.19	10		UPF2	RNA transport; mRNA surveillance pathway	Regulation of expression of SLITs and ROBOs; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	9	0	NA	442.7	189.8	218.2	248	393	474.6	1	
High	Q8NDT2	Putative RNA-binding protein 15B OS=Homo sapiens OX=9606 GN=RBM15B PE=1 SV=3	0	22.426	9	7	12	5	890	97.1	9.85	35.94	7	metabolic process;regulation of biological process;transport	nucleus	protein binding;RNA binding	"Pf00076, Pf07744, Pf08777, Pf13893, Pf14259"	29890	ENSG00000259956.1	3		RBM15B			0	0	NA	192.7	147.6	160.1	161.7	143.5	105.7	1	
High	O75940	Survival of motor neuron-related-splicing factor 30 OS=Homo sapiens OX=9606 GN=SMNDC1 PE=1 SV=1	0	21.744	34	5	8	5	238	26.7	7.24	28.3	5	cell death;metabolic process	cytoplasm;nucleus;spliceosomal complex	protein binding;RNA binding	Pf06003	10285	ENSG00000119953.12	10		SMNDC1	Spliceosome	mRNA Splicing - Major Pathway	5	0	NA	153.1	222.2	210.3	188	167.7	190.7	1	
High	P68036	Ubiquitin-conjugating enzyme E2 L3 OS=Homo sapiens OX=9606 GN=UBE2L3 PE=1 SV=1	0	21.617	40	5	11	5	154	17.9	8.51	33.74	5	cell proliferation;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;nucleus	catalytic activity;enzyme regulator activity;nucleotide binding;protein binding;RNA binding	Pf00179	7332	ENSG00000185651.14	22	Parkin-Ubiquitin Proteasomal System pathway; Parkinsons Disease Pathway	UBE2L3	Ubiquitin mediated proteolysis; Parkinson's disease	Synthesis of active ubiquitin: roles of E1 and E2 enzymes; E3 ubiquitin ligases ubiquitinate target proteins; Antigen processing: Ubiquitination & Proteasome degradation	13	0	NA	212.2	884.8	874.1	754.2	912.9	468.7	1	
High	E9PSH0	CUGBP Elav-like family member 1 (Fragment) OS=Homo sapiens OX=9606 GN=CELF1 PE=1 SV=1	0	21.317	62	5	11	1	95	10.9	7.46	28.42	5			RNA binding	"Pf00076, Pf13893, Pf14259"		ENSG00000149187.17	11					0	0	NA	39	76.4	89.1	86	75	54.2	1	
High	Q15427	Splicing factor 3B subunit 4 OS=Homo sapiens OX=9606 GN=SF3B4 PE=1 SV=1	0	21.09	14	3	6	3	424	44.4	8.56	29.41	3	metabolic process;regulation of biological process	nucleus;spliceosomal complex	protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	10262	ENSG00000143368.9	1	mRNA Processing	SF3B4	Spliceosome	mRNA Splicing - Major Pathway; mRNA Splicing - Minor Pathway	7	0	NA	212.2	393	349	379.1	220.6	262.3	1	
High	Q86U06	Probable RNA-binding protein 23 OS=Homo sapiens OX=9606 GN=RBM23 PE=1 SV=1	0	20.324	18	6	8	3	439	48.7	9.85	20.04	6	metabolic process	membrane;nucleus	protein binding;RNA binding	"Pf00076, Pf13893, Pf14259, Pf15519"	55147	ENSG00000100461.17	14		RBM23			0	0	NA	51.8	80.7	77.3	100	63.3	66.1	1	
High	G8JLB3	tRNA pseudouridine synthase A (Fragment) OS=Homo sapiens OX=9606 GN=PUS1 PE=1 SV=1	0	20.132	19	6	10	6	384	42.9	8.47	30.84	6	metabolic process	mitochondrion;nucleus	catalytic activity;RNA binding	Pf01416		ENSG00000177192.13	12					0	0	NA	176.3	220.1	273.8	251.2	225.5	177.2	1	
High	K7ER90	Eukaryotic translation initiation factor 3 subunit G (Fragment) OS=Homo sapiens OX=9606 GN=EIF3G PE=1 SV=1	0	19.971	28	7	9	1	227	25.4	5.49	22.83	7	metabolic process	cytoplasm;cytosol	RNA binding	Pf12353		ENSG00000130811.11	19					0	0	NA	NA	NA	NA	NA	NA	NA	1	
High	P21399	Cytoplasmic aconitate hydratase OS=Homo sapiens OX=9606 GN=ACO1 PE=1 SV=3	0	19.437	11	7	8	7	889	98.3	6.68	20.55	7	cellular homeostasis;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol;endoplasmic reticulum;Golgi;mitochondrion	catalytic activity;metal ion binding;protein binding;RNA binding	"Pf00330, Pf00694"	48	ENSG00000122729.18	9	Iron metabolism in placenta; TCA Cycle and Deficiency of Pyruvate Dehydrogenase complex (PDHc)	ACO1	Metabolic pathways; Carbon metabolism; Glyoxylate and dicarboxylate metabolism; Biosynthesis of amino acids; 2-Oxocarboxylic acid metabolism; Citrate cycle (TCA cycle)	Iron uptake and transport	10	0	NA	58.2	158.3	203	187.3	169	98.6	1	
High	Q92667	"A-kinase anchor protein 1, mitochondrial OS=Homo sapiens OX=9606 GN=AKAP1 PE=1 SV=1"	0	19.436	8	6	7	6	903	97.3	4.94	19.87	6	coagulation;regulation of biological process	cytosol;membrane;mitochondrion	protein binding;RNA binding	"Pf00013, Pf00567, Pf12072, Pf13014"	8165	ENSG00000121057.12	17	G Protein Signaling Pathways	AKAP1		Mitochondrial calcium ion transport; Factors involved in megakaryocyte development and platelet production	5	0	NA	169.3	129.8	108.8	83.1	187.6	160.6	1	
High	A0A0A0MR59	Pumilio homolog 2 OS=Homo sapiens OX=9606 GN=PUM2 PE=1 SV=1	0	19.146	7	5	6	1	929	99.6	7.3	19.61	5	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	cytosol;membrane	protein binding;RNA binding	Pf00806	23369	ENSG00000055917.15	2		PUM2			0	0	NA	NA	NA	NA	NA	NA	NA	1	
High	V9GYY5	Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=1	0	18.801	35	6	11	5	206	23.8	10.08	31.95	6				Pf09805		ENSG00000100101.15	22					0	0	NA	899.1	976	976.6	893.3	399.7	274.6	1	
High	H0YEH2	Pumilio homolog 1 (Fragment) OS=Homo sapiens OX=9606 GN=PUM1 PE=1 SV=1	0	18.524	7	8	10	5	1125	120.2	6.8	24.15	8		cytosol;nucleus	RNA binding	Pf00806		ENSG00000134644.15	1					0	3	NA	828.1	395.1	399.7	421.6	757.8	604.1	1	
High	Q15056	Eukaryotic translation initiation factor 4H OS=Homo sapiens OX=9606 GN=EIF4H PE=1 SV=5	0	18.379	29	5	14	5	248	27.4	7.23	44.03	5	cell organization and biogenesis;metabolic process;regulation of biological process;reproduction	cytoplasm;cytosol;membrane	catalytic activity;protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	7458	ENSG00000106682.14	7	Translation Factors	EIF4H		L13a-mediated translational silencing of Ceruloplasmin expression; Translation initiation complex formation; GTP hydrolysis and joining of the 60S ribosomal subunit; Ribosomal scanning and start codon recognition	10	0	NA	694.2	1123.4	1140.3	993.4	1039.9	913.5	1	
High	P52298	Nuclear cap-binding protein subunit 2 OS=Homo sapiens OX=9606 GN=NCBP2 PE=1 SV=1	0	18.289	40	6	12	6	156	18	8.21	33.82	6	metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol;nucleus	protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	22916	ENSG00000114503.10	3	mRNA Processing	NCBP2	mRNA surveillance pathway; RNA transport; Spliceosome	Signaling by FGFR2 IIIa TM; RNA polymerase II transcribes snRNA genes; Abortive elongation of HIV-1 transcript in the absence of Tat; Formation of HIV-1 elongation complex containing HIV-1 Tat; Formation of the HIV-1 Early Elongation Complex; SLBP independent Processing of Histone Pre-mRNAs; mRNA Splicing - Major Pathway; FGFR2 alternative splicing; mRNA Splicing - Minor Pathway; Cleavage of Growing Transcript in the Termination Region ; Formation of RNA Pol II elongation complex ; Formation of HIV elongation complex in the absence of HIV Tat; RNA Polymerase II Pre-transcription Events; snRNP Assembly; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); Transport of the SLBP independent Mature mRNA; mRNA 3'-end processing; SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs; Transport of Mature mRNA Derived from an Intronless Transcript; Transport of the SLBP Dependant Mature mRNA; mRNA Capping; Regulation of expression of SLITs and ROBOs; Processing of Intronless Pre-mRNAs; Transport of Mature mRNA derived from an Intron-Containing Transcript; Formation of the Early Elongation Complex	61	0	NA	937.4	1128.5	1090.7	1220.1	739	695.7	1	
High	Q8WYQ5	Microprocessor complex subunit DGCR8 OS=Homo sapiens OX=9606 GN=DGCR8 PE=1 SV=1	0	16.51	10	6	7	6	773	86	5.95	19.2	6	metabolic process;regulation of biological process	cytoplasm;nucleus	catalytic activity;metal ion binding;protein binding;RNA binding	"Pf00035, Pf00397"	54487	ENSG00000128191.15	22	miRNA Biogenesis; RNA interference; DDX1 as a regulatory component of the Drosha microprocessor	DGCR8		MicroRNA (miRNA) biogenesis	6	0	NA	112.3	205	191.1	155.1	116.6	68.6	1	
High	Q71RC2	La-related protein 4 OS=Homo sapiens OX=9606 GN=LARP4 PE=1 SV=3	0	15.785	8	6	9	6	724	80.5	6.61	26.43	6	cell organization and biogenesis;metabolic process;regulation of biological process	cytoplasm;cytosol;membrane	protein binding;RNA binding	"Pf05383, Pf14259"	113251	ENSG00000161813.21	12		LARP4			0	0	NA	347.4	161.8	145.2	138.7	631.6	351.3	1	
High	A0A0C4DGZ1	Zinc finger CCCH domain-containing protein 8 OS=Homo sapiens OX=9606 GN=ZC3H8 PE=1 SV=1	0	15.491	20	3	5	3	297	34.3	8.37	19.08	3	cell death;metabolic process;regulation of biological process;response to stimulus	nucleus	DNA binding;metal ion binding;protein binding;RNA binding		84524	ENSG00000144161.12	2		ZC3H8			0	0	NA	23.4	31.2	37.2	31.5	12.5	7	1	
High	Q9UHI6	Probable ATP-dependent RNA helicase DDX20 OS=Homo sapiens OX=9606 GN=DDX20 PE=1 SV=2	0	14.573	7	4	5	4	824	92.2	6.95	14.52	4	cell organization and biogenesis;metabolic process;regulation of biological process;transport	cytoplasm;cytoskeleton;cytosol;membrane;nucleus	catalytic activity;DNA binding;nucleotide binding;protein binding	"Pf00270, Pf00271"	11218	ENSG00000064703.11	1	mRNA Processing	DDX20	RNA transport	snRNP Assembly	5	0	NA	215.3	146.5	133.5	133	157.1	93.5	1	
High	Q9NVV4	"Poly(A) RNA polymerase, mitochondrial OS=Homo sapiens OX=9606 GN=MTPAP PE=1 SV=1"	0	14.404	6	3	5	3	582	66.1	9.04	20.41	3	metabolic process	cytoplasm;mitochondrion	catalytic activity;metal ion binding;nucleotide binding;protein binding;RNA binding	Pf03828	55149	ENSG00000107951.14	10		MTPAP			0	0	NA	304.5	171.1	147.9	145	186	341.2	1	
High	O76003	Glutaredoxin-3 OS=Homo sapiens OX=9606 GN=GLRX3 PE=1 SV=2	0	14.325	16	5	6	5	335	37.4	5.39	15.89	5	cell organization and biogenesis;cellular homeostasis;metabolic process;regulation of biological process	cytoplasm;cytosol;nucleus;spliceosomal complex	catalytic activity;metal ion binding;protein binding;RNA binding	"Pf00085, Pf00462, Pf02114, Pf02966, Pf04908, Pf13098, Pf13905"	10539	ENSG00000108010.11	10		GLRX3		Iron uptake and transport	2	0	NA	197.9	990.6	1123.4	1028.2	818.3	371.4	1	
High	P78362	SRSF protein kinase 2 OS=Homo sapiens OX=9606 GN=SRPK2 PE=1 SV=3	0	14.018	7	4	7	3	688	77.5	4.97	21.19	4	cell differentiation;cell organization and biogenesis;defense response;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;nucleus	catalytic activity;metal ion binding;nucleotide binding;protein binding;RNA binding	"Pf00069, Pf07714"	6733	ENSG00000135250.16	7	mRNA Processing	SRPK2			1	0	NA	637.2	323.2	345.6	326.7	372.3	158.4	1	
High	Q9H6R0	ATP-dependent RNA helicase DHX33 OS=Homo sapiens OX=9606 GN=DHX33 PE=1 SV=2	0	13.813	7	5	7	5	707	78.8	8.91	20.87	5	metabolic process;regulation of biological process	cytoplasm;nucleus	catalytic activity;DNA binding;nucleotide binding;protein binding;RNA binding	"Pf00270, Pf00271, Pf04408, Pf07717, Pf13401"	56919	ENSG00000005100.12	17		DHX33	NOD-like receptor signaling pathway		1	0	NA	365.7	338.1	339.2	352.2	162.2	106.1	1	
High	V9GZ56	U6 snRNA-associated Sm-like protein LSm4 (Fragment) OS=Homo sapiens OX=9606 GN=LSM4 PE=1 SV=1	0	13.243	16	4	10	4	238	25.7	10.15	25.09	4	metabolic process			Pf01423		ENSG00000130520.10	19					0	0	NA	560.8	712.7	692.8	565.7	477	467	1	Met-loss [N-Term]
High	Q2TB10	Zinc finger protein 800 OS=Homo sapiens OX=9606 GN=ZNF800 PE=1 SV=1	0	13.161	6	3	3	3	664	75.2	9.47	10.79	3	metabolic process;regulation of biological process	nucleus	DNA binding;metal ion binding	"Pf00096, Pf13912"	168850	ENSG00000048405.9	7		ZNF800			0	0	NA	110.8	104.7	91.2	100.9	77.3	96.8	1	
High	Q9BRZ2	E3 ubiquitin-protein ligase TRIM56 OS=Homo sapiens OX=9606 GN=TRIM56 PE=1 SV=3	0	12.031	5	3	3	3	755	81.4	7.74	9.22	3	defense response;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol	catalytic activity;metal ion binding;protein binding;RNA binding	"Pf00097, Pf00643, Pf13445, Pf13639, Pf13920, Pf13923, Pf14634, Pf15227"	81844	ENSG00000169871.12	7		TRIM56		Regulation of innate immune responses to cytosolic DNA	4	0	NA	133	69.9	66.6	55.9	81.5	84.2	1	
High	Q969S3	Zinc finger protein 622 OS=Homo sapiens OX=9606 GN=ZNF622 PE=1 SV=1	0	11.861	7	3	5	3	477	54.2	6.15	14.14	3	regulation of biological process;response to stimulus	cytoplasm;cytosol;Golgi;nucleus	metal ion binding;protein binding;RNA binding	"Pf12171, Pf12756, Pf12874"	90441	ENSG00000173545.4	5		ZNF622			0	0	NA	394.6	266.3	281.3	231.8	211.3	141.9	1	
High	A0A1W2PP04	"RNA-binding motif protein, X-linked 2 OS=Homo sapiens OX=9606 GN=RBMX2 PE=1 SV=1"	0	11.236	15	4	8	4	276	31.5	9.41	23.07	4			RNA binding	"Pf00076, Pf13893, Pf14259"		ENSG00000134597.15	X					0	0	NA	453.6	675.6	703.1	777	269.1	374.9	1	
